timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z
1738565149.481952,-0.01671050488948822,-0.21000456809997559,0.018220365047454834,-0.020885884761810303,0.0035971752367913723,-1.0599266290664673
1738565149.4820762,0.03659242391586304,-0.11313790082931519,-0.21117419004440308,-0.1355130523443222,0.2611846923828125,-1.0330982208251953
1738565149.483348,0.12543627619743347,-0.03008168935775757,-0.3716014325618744,0.08452636003494263,0.737247884273529,-0.891875147819519
1738565149.503765,0.21907031536102295,-0.0007095932960510254,-0.37276095151901245,0.21519401669502258,1.1007572412490845,-0.5896792411804199
1738565149.5233932,0.20505043864250183,0.06346237659454346,-0.38059526681900024,0.38984283804893494,1.270569086074829,-0.3806411921977997
1738565149.543943,0.18108010292053223,0.12656521797180176,-0.39241063594818115,0.6948835253715515,1.2789984941482544,-0.2727334797382355
1738565149.5655951,0.22820508480072021,0.18090122938156128,-0.33521437644958496,0.9132656455039978,1.1418802738189697,-0.07392764836549759
1738565149.58412,0.28458186984062195,0.2209952473640442,-0.20785745978355408,0.8824625015258789,1.0257930755615234,0.24893102049827576
1738565149.605959,0.2954651713371277,0.26723551750183105,-0.13566547632217407,0.8278956413269043,0.97381591796875,0.6433897018432617
1738565149.6235971,0.26659059524536133,0.30149275064468384,-0.12799447774887085,0.8696538805961609,0.9262035489082336,0.9760140180587769
1738565149.643828,0.24216997623443604,0.34991151094436646,-0.07356786727905273,0.8372778296470642,0.8932682275772095,1.3343182802200317
1738565149.666239,0.1943630874156952,0.405509352684021,-0.036610037088394165,0.8065570592880249,0.8084304332733154,1.6834263801574707
1738565149.683593,0.1533074527978897,0.4401882290840149,0.014049425721168518,0.7376919984817505,0.6460891366004944,2.014587163925171
1738565149.7035851,0.11800913512706757,0.4775822162628174,0.09828139841556549,0.5444579720497131,0.41587600111961365,2.317009925842285
1738565149.7236319,0.10816413164138794,0.5155402421951294,0.18298280239105225,0.20624087750911713,0.37489309906959534,2.638211488723755
1738565149.743689,0.0823838859796524,0.564073920249939,0.21712185442447662,-0.21921415627002716,0.5395655632019043,2.955878496170044
1738565149.763946,-0.02048715204000473,0.6006107330322266,0.16673921048641205,-0.5114362239837646,0.7523258328437805,3.052921772003174
1738565149.78373,-0.1197097897529602,0.6424931287765503,0.1412181854248047,-0.7288049459457397,0.8418253064155579,2.9658432006835938
1738565149.8035278,-0.17315450310707092,0.6839673519134521,0.18050706386566162,-0.9967906475067139,0.7913685441017151,2.8283090591430664
1738565149.823467,-0.1890198290348053,0.6836867928504944,0.17446650564670563,-1.185503602027893,0.5221748948097229,2.651956081390381
1738565149.843473,-0.22105981409549713,0.6632124781608582,0.17566993832588196,-1.3119045495986938,0.24160221219062805,2.3981740474700928
